card_id,vehicle,year,price_range,price_usd,location,home_delivery,virtual_appointments,included_warranty,VIN,transmission,transmission_type,engine,engine_vol,fuel,mpg,milage,milage_unit,body,drive,color,one_owner,accidents_or_damage,clean_title,personal_use_only,comment,scrap_date,source_id,dl_loaded_date
G04336,Hyundai Sonata SEL,2023,20000-29999,28299,"4095 Route 1 South Monmouth Junction, NJ 08852",Y,Y,N,KMHL64JA5PA254474,Automatic,Automatic,2.5L,2500.0,Gasoline,"",5542,mi.,sedan,Front-wheel Drive,Onyx Black,No,None reported,,No,"Only 5,537 Miles! Delivers 37 Highway MPG and 27 City MPG! Dealer Certified Pre-Owned. This HYUNDAI SONATA boasts a Regular Unleaded I-4 2.5 L/152 engine powering this Automatic transmission. Wheels: 17 x 7.0J Aluminum Alloy, Wheels w/Machined Accents, Voice Activated Dual Zone Front Automatic Air C|…|onditioning. This HYUNDAI SONATA Features the Following Options Turn-By-Turn Navigation Directions, Trunk Rear Cargo Access, Trip Computer, Transmission: 8-Speed Automatic w/SHIFTRONIC -inc: drive mode select, shift-by-wire and OD lock-up torque converter, Tires: 215/55R17, Tire Specific Low Tire Pressure Warning, Strut Front Suspension w/Coil Springs, Streaming Audio, Steel Spare Wheel, Speed Sensitive Variable Intermittent Wipers.",2023-05-04T08:21:52.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
EV2091XP,Toyota Corolla LE,2023,20000-29999,25287,"7900 Capital Blvd Raleigh, NC 27616",Y,Y,N,5YFB4MDE4PP004398,Automatic CVT,CVT,2.0L I4 16V PDI DOHC,2000.0,Gasoline,"",847,mi.,sedan,Front-wheel Drive,Blueprint,Yes,None reported,,Yes,"Automatic, Backup Camera, Bluetooth, AUX, USB, Power Windows and Locks, Air Conditioning, AM/FM radio: SiriusXM, Driver door bin, Driver vanity mirror, Exterior Parking Camera Rear, Front Bucket Seats, Front Center Armrest, Front reading lights, Outside temperature display, Panic alarm, Passenger do|…|or bin, Passenger vanity mirror, Power windows, Radio: 8 Toyota Audio Multimedia, Rear seat center armrest, Remote keyless entry, Trip computer. Westgate EV and RV is a Certified Kelley Blue Book Buying Center. That means We Will Buy Your Car Even If You Dont Buy One From Us. If you happen to receive a higher value for your vehicle elsewhere Westgate will beat that offer by $500.00.",2023-05-04T08:54:44.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
22564A,Volkswagen Taos 1.5T SE,2023,20000-29999,29967,"1860 Cobb Pkwy SE Marietta, GA 30060",N,N,N,3VVSX7B27PM300784,8-Speed Automatic,Automatic,1.5L,1500.0,Gasoline,"",281,mi.,suv,Front-wheel Drive,Deep Black Pearl Effect,Yes,None reported,,Yes,EXCELLENT CONDITION !!! 2023 Volkswagen Taos 1.5T SE !!! PRIOR OWNER UPGRADED TO HIGHER TRIM !!! Recent Arrival! Clean CARFAX. 28/36 City/Highway MPG MARIETTA VOLKSWAGEN 770-955-6565.,2023-05-04T08:20:48.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
C22611A,Hyundai Sonata SEL,2023,20000-29999,29335,"41300 Laurel Cliff Rd Pomeroy, OH 45769",Y,Y,N,KMHL64JA7PA251608,Automatic,Automatic,2.5L I4,2500.0,Gasoline,"",4778,mi.,sedan,Front-wheel Drive,Hampton Gray,No,None reported,,Yes,"Clean CARFAX. ACCIDENT FREE HISTORY, Dark Gray Cloth, Automatic temperature control, Exterior Parking Camera Rear, Navigation System, Option Group 01, Radio: AM/FM/MP3/HD/SiriusXM Display Audio w/Nav.",2023-05-04T08:28:34.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
P3017815A,Subaru Impreza Premium,2023,20000-29999,26950,"13315 N. Tamiami Trail Naples, FL 34110",Y,Y,N,4S3GTAV64P3711654,Automatic CVT,CVT,2.0L H4 16V GDI DOHC,2000.0,Gasoline,"",1961,mi.,hatchback,All-wheel Drive,Ice Silver Metallic,Yes,None reported,,Yes,"One Owner, Local Trade, Clean Carfax, Rear View Camera, Low Miles, Balance Of Factory Warranty, Service Records Available!, Fresh Oil change, Fully detailed, 6 Speakers, Cloth Upholstery, Exterior Parking Camera Rear, Front Bucket Seats, Heated Front Bucket Seats, Outside temperature display, Radio:|…|Subaru STARLINK 6.5 Multimedia Plus System, Security system, Spoiler, Standard Model, Wheels: 16 x 6.5 Machine Finish J Aluminum-Alloy, Windshield Sunshade.https://www.kbb.com/kbbreport/lkpti2023 Subaru Impreza Premium Local Trade In, Factory Warranty. Local Trade In, Factory Warranty.CARFAX One-Owner. Clean CARFAX. Odometer is 1835 miles below market average! 28/36 City/Highway MPG2.0L DOHCIce Silver Metallic4D HatchbackAWDCVT LineartronicAt Germain Toyota of Naples, we make it Fast, Easy and Simple. Call us to see why we are the #1 Certified Pre-Owned dealer in Southwest Florida.PremiumAt Germain Toyota, we make Fast, Easy and Simple. Call us to see why we are the #1 Certified Pre-Owned Dealer in Southwest Florida!",2023-05-04T08:21:01.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PU485806,Hyundai Elantra Limited,2023,20000-29999,27698,"4850 East Interstate 10 Columbus, TX 78934",N,N,N,KMHLP4AG8PU485806,IVT,IVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",1736,mi.,sedan,Front-wheel Drive,Scarlet Red Pearl,Yes,None reported,,Yes,"Welcome to Cavender CJDR. This listing is located at 4850 I-10 E. Frontage Rd Columbus, TX. 78934. Here at Cavender you can buy with Confidence. All vehicles have gone through a thorough inspection and passed with our highest expectations as we value every customer as if we were selling to our famil|…|y. So stop on in and feel like family we would love to meet you. 2023 Hyundai Elantra Limited Scarlet Red Pearl I4 FWD Alloy Door Sills, Cargo Block, Cargo Net, Cargo Package, Carpeted Floor Mats, First Aid Kit, Interior Light Kit, Leather-Trimmed Seats, Option Group 01, Reversible Cargo Tray. IVT 30/40 City/Highway MPG CARFAX One-Owner. Clean CARFAX.",2023-05-04T08:49:50.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
40097T,Honda Civic Sport,2023,20000-29999,27404,"15303 Royalton Rd Strongsville, OH 44136",Y,Y,N,2HGFE2F56PH515408,Automatic CVT,CVT,2.0L I4 16V GDI DOHC,2000.0,Gasoline,"",5572,mi.,sedan,Front-wheel Drive,Gray,Yes,None reported,,Yes,"ONLY 5K MILES! CIVIC SEDAN SPORT 2.0L 4CYL REAR VISION CAMERA ONE OWNER CLEAN CARFAX TRADE-IN BALANCE OF FACTORY WARRANTY We are the # 1 Chev Dealer in Ohio! We have wide selection of new and used vehicles and a variety of financing options available to help you with your purchase. We are loca|…|ted just minutes from CLEVELAND HOPKINS air-port, FREE shuttle service available. We Are NOT responsible for other states inspections as we are not aware of what every state requires. ALSO, we can install all accessories like - Leather, Moonroof, Sunroof, Remote start, Navigation, Bluetooth, Assist steps, Back up cameras and more! 30/37 City/Highway MPG",2023-05-04T08:26:20.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PZ002889,Mitsubishi Eclipse Cross SEL,2023,20000-29999,28366,"4630 E 32nd St Joplin, MO 64804",Y,Y,N,JA4ATWAA8PZ002889,Automatic CVT,CVT,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",7854,mi.,suv,Four-wheel Drive,Silver,Yes,None reported,,Yes,"2 KEYS WITH EVERY VEHICLE, Adaptive Cruise Control, Auto-Dimming Rear-View Mirror, Black Roof Rails, Forward Collision Mitigation (FCM), Head-Up Display (HUD), Heated Rear Seats, Mitsubishi Power Sound System (MPSS) w/8 Speakers, Power Panoramic Sunroof, Touring Package, Touring Package (P2).2023 Mi|…|tsubishi Eclipse Cross Silver SEL 1.5L I4 DI Turbocharged DOHC 16V LEV3-ULEV70 152hp 4D Sport Utility CVT 4WDCARFAX One-Owner. 25/26 City/Highway MPGHere at Landers Chevrolet-Cadillac, we pride ourselves in a transparent car buying experience; Our Best Price is clearly posted, We have Carfax and repair orders available on site for your review. Come experience a better way to buy your next car! Give us a Call today to schedule a demonstration drive and get straight forward answers to your questions. LANDERS CHEVROLET CADILLAC, Serving Joplin, Jasper, Newton, Carthage, Springfield, Missouri, 64804 For A Lifetime!",2023-05-04T08:14:12.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
63217R,Subaru Crosstrek Premium,2023,20000-29999,28995,"4145 Broadway Oakland, CA 94611",Y,Y,N,JF2GTAEC2P8278264,Automatic CVT,CVT,2.0L H4 16V GDI DOHC,2000.0,Gasoline,"",1396,mi.,suv,All-wheel Drive,Crystal White Pearl,Yes,None reported,Yes,Yes,"Clean CARFAX. Odometer is 5821 miles below market average! 28/33 City/Highway MPG For availability please call, - come see our quality for yourself at 4145 Broadway Oakland, CA 94561. Downtown Auto Center Price Guarantee -- Our commitment to you is the price you see here is guaranteed to be at or be|…|low the current market value for this vehicle based on year, miles, equipment and availability. Fuel Economy are EPA estimate-Price plus government fees and taxes, any finance charges, any dealer document processing charge, any electronic filing charge and any emission testing charge. www.P65Warnings.ca.gov.",2023-05-04T08:20:32.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
AH230323A,Subaru Impreza Sport,2023,20000-29999,25982,"2807 Auburn Way N Auburn, WA 98002",Y,Y,N,4S3GTAJ63P1709959,5-Speed Manual,Manual,2.0L H4 16V GDI DOHC,2000.0,Gasoline,"",587,mi.,hatchback,All-wheel Drive,Crystal White Pearl,Yes,None reported,Yes,Yes,CARFAX One-Owner. Clean CARFAX.22/30 City/Highway MPGWe utilize and independent third party software company to thoroughly shop every car in our inventory against every other similar vehicle in the market to ensure we are always competitively priced.,2023-05-04T08:14:35.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
LPC741434,Nissan Rogue SV,2023,20000-29999,29374,"6600 State Hwy 121 Frisco, TX 75034",N,N,Y,5N1BT3BA5PC741434,Automatic CVT,CVT,1.5L I3 12V GDI DOHC Turbo,1500.0,Gasoline,"",2678,mi.,suv,Front-wheel Drive,Scarlet Ember,Yes,None reported,,No,"CARFAX One-Owner. 2023 Nissan Rogue SV Navigation/GPS, 1-Owner, Nissan Certified, Just Traded In, Alloy Wheels, Remote Start, 4D Sport Utility, 18 Aluminum Alloy Wheels, Alloy wheels, Power driver seat, Rear Parking Sensors. 4D Sport Utility Odometer is 1278 miles below market average! Certified. Ni|…|ssan Certified Details:  Roadside Assistance  Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date  Vehicle History  167 Point Inspection  Plus 1 Year Pre-Paid Maintenance Included.  Warranty Deductible: $100  Transferable Warranty FWD Save time at the dealership and complete your deal online with Skip the Lot, Crest Nissan's online buying platform. It's the fastest way to buy a car, by far!",2023-05-04T08:19:00.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
TPE512922,Kia Rio S,2023,10000-19999,19490,"14500 W Sunrise Blvd Sunrise, FL 33323",Y,Y,Y,3KPA25AD9PE512922,Automatic CVT,CVT,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",8512,mi.,hatchback,Front-wheel Drive,Silky Silver,Yes,None reported,,Yes,"Priced below KBB Fair Purchase Price! CARFAX One-Owner. Clean CARFAX. 10 year or 100,000 mile Powertrain Warranty, 150 Point Inspection, Kia Certified, Unlimited Car Wash, Rick Case Rewards, ABS brakes, Brake assist, Dual front impact airbags, Electronic Stability Control, Fully automatic headlights|…|, Panic alarm, Speed control, Wheels: 15 x 5.5J Steel w/Full Covers. Certified. Silky Silver 2023 Kia Rio S FWD CVT 1.6L 4-Cylinder Kia Certified Pre-Owned Details:  Includes Rental Car and Trip Interruption Reimbursement. 3 month Sirius trial subscription  Roadside Assistance  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Vehicle History  Warranty Deductible: $50  Transferable Warranty  Limited Warranty: 12 Month/12,000 Mile (whichever comes first) Platinum Coverage from certified purchase date  165 Point Inspection 32/41 City/Highway MPG Thank you for shopping at Rick Case Kia. We want to help you become a member of the Rick Case Kia Family. As a Rick Case Kia Family member, you receive a free Rick Case Rewards Card that gets you discounted gas. You will also receive discounted service and free car washes. Rick Case Kia of Sunrise proudly serves Fort Lauderdale, Hollywood, Weston, Davie, Pembroke Pines, Southwest Ranches, Miami, Miami Lakes, Miami Gardens, Key West, Islamorada, Marathon, Cutler Ridge, Miami Beach, Hialeah, Miami Shores, Aventura, South Beach, Lauderdale by the Sea, Lauderdale, Lauderhill, Margate, Tamarac, Sunrise, Coconut Creek, Deerfield Beach, Coral Springs, Cooper City, Lighthouse Point, Boca Raton, West Boca, Delray Beach, Boynton Beach, Wellington, Lake Worth, Palm Beach, West Palm Beach, Greenacres, Royal Palm Beach, Palm Beach Gardens, Jupiter, Stuart, Port Saint Lucie, Fort Pierce.",2023-05-04T08:12:50.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
EP5460,Mitsubishi Eclipse Cross LE,2023,20000-29999,29500,"1000 Millennium Blvd Brunswick, GA 31525",Y,Y,N,JA4ATVAA0PZ001505,Automatic CVT,CVT,1.5L I4 16V GDI DOHC Turbo,1500.0,Gasoline,"",11154,mi.,suv,Four-wheel Drive,White,No,None reported,,Yes,"Clean CARFAX. Certification Program Details: 7yr/125,000 miles Powertrain coverage includes Rental, Towing, and Travel Breakdown (Roadside Assistance) Oil Changes and Car Washes for the life of your vehicle ownership. White 2023 Mitsubishi Eclipse Cross LE 1.5L I4 DI Turbocharged DOHC 16V LEV3-ULEV7|…|0 152hp CVT 4WD HEATED SEATS, LANE DEPARTURE WARNING SYSTEM, LANE KEEP ASSIST, Bluetooth, AM/FM radio: SiriusXM, Exterior Parking Camera Rear, Illuminated entry, Low tire pressure warning, Remote keyless entry, Steering wheel mounted audio controls.",2023-05-04T08:35:22.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K2437A,Kia Rio S,2023,10000-19999,19969,"6030 North Green Bay Avenue Glendale, WI 53209",N,N,Y,3KPA24AD3PE549734,Automatic CVT,CVT,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",249,mi.,sedan,Front-wheel Drive,Clear White,Yes,None reported,,Yes,"Certified. Kia Certified Pre-Owned Details:  Transferable Warranty  Limited Warranty: 12 Month/12,000 Mile (whichever comes first) Platinum Coverage from certified purchase date  Warranty Deductible: $50  165 Point Inspection  Roadside Assistance  Powertrain Limited Warranty: 120 Month/100,000|…|Mile (whichever comes first) from original in-service date  Includes Rental Car and Trip Interruption Reimbursement. 3 month Sirius trial subscription  Vehicle History Kia Certified 10 year/100,000 Mile Warranty!! CARFAX,VALUE ADDED RECON AND ENGAGE! DO YOU KNOW WHAT THE DIFFERENCE IS BETWEEN THIS VEHICLE AND THE OTHER VEHICLES YOU'RE RESEARCHING? THIS VEHICLE COMES WITH A COMPLIMENTARY LIFETIME POWERTRAIN WARRANTY!!! The Lupient Automotive Group has recently acquired Boucher KIA in Milwaukee and relocated to an all new facility just down the road in Glendale, Wisconsin. Since 1969, the Lupient family has provided award winning customer service to their customers and community. Contact us to see for yourself! 2023 Kia Rio S Odometer is 5564 miles below market average! Priced below KBB Fair Purchase Price! DO YOU KNOW WHAT THE DIFFERENCE IS BETWEEN THIS VEHICLE AND THE OTHER VEHICLES YOU'RE RESEARCHING? THIS VEHICLE COMES WITH A COMPLIMENTARY LIFETIME POWERTRAIN WARRANTY!!! The Lupient Automotive Group has recently acquired Boucher KIA in Milwaukee and relocated to an all new facility just down the road in Glendale, Wisconsin. Since 1969, the Lupient family has provided award winning customer service to their customers and community. Contact us to see for yourself! Please email or call Lupient Kia of Milwaukee with questions or to set up an appointment (we will have your vehicle pulled up and ready to save you time) or just stop by our beautiful state of the art showroom.  Kia Certified gives you the BEST warranty in the industry with 10 yr/100,000 mile powertrain warranty, 12 month platinum warranty, remainder of any 5 year 60,000 mile bumper to b",2023-05-04T08:12:27.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
K007841,Kia Sportage LX,2023,20000-29999,27996,"13731 HARBOR BLVD Garden Grove, CA 92843",Y,Y,Y,KNDPU3AF5P7048635,8-Speed Automatic,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",4610,mi.,suv,Front-wheel Drive,Gravity Gray,Yes,At least 1 accident or damage reported,,Yes,"2023 Kia Sportage LX Certified. CARFAX One-Owner. Odometer is 20475 miles below market average! 25/32 City/Highway MPG Kia Certified Pre-Owned Details:  Transferable Warranty  Includes Rental Car and Trip Interruption Reimbursement. 3 month Sirius trial subscription  Powertrain Limited Warranty:|…|120 Month/100,000 Mile (whichever comes first) from original in-service date  Warranty Deductible: $50  165 Point Inspection  Limited Warranty: 12 Month/12,000 Mile (whichever comes first) Platinum Coverage from certified purchase date  Vehicle History  Roadside Assistance Here at Garden Grove Kia we have taken great pride during our years of operation in being a dealership that works with shoppers to find them the car that is a perfect fit for them. If you choose to shop from us, we can guarantee that you will be driving off our lot in a vehicle that you love, with a smile on your face.",2023-05-04T08:25:42.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PH487656L,Hyundai Santa Fe SE,2023,20000-29999,29400,"32275 W I-10, Building B Boerne, TX 78006",Y,Y,Y,5NMS14AJ8PH487656,8-Speed Automatic with SHIFTRONIC,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",4952,mi.,suv,Front-wheel Drive,Twilight Black,No,None reported,,No,"2023 Hyundai Santa Fe Certified Limited Powertrain, One Owner, Clean Carfax, Fresh Trade, Non-Smoker, Heated Seats, 18 x 7.5J Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Apple CarPlay & Android Auto, Axle Ratio: 3.798, Carpeted Floor Mats,|…|Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front reading lights, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Option Group 01, Outside temperature display, Overhead airbag, Panic alarm, Passenger door bin, Power steering, Power windows, Rear anti-roll bar, Rear window wiper, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Stain-Resistant Cloth Seat Trim, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers. Call us today at 210-635-1000 to schedule a test drive, or just stop by. We look forward to seeing you! Clean CARFAX. Certified. Hyundai Certified Pre-Owned Details:  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  173+ Point Inspection  Roadside Assistance  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription  Warranty Deductible: $50  Vehicle History 25/28 City/Highway MPG Odometer is 1297 miles below market average!",2023-05-04T08:22:35.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
23B1087A,Kia Rio LX,2023,20000-29999,21376,"791 Dickman Road Battle Creek, MI 49015",Y,Y,Y,3KPA24AD6PE553504,Automatic CVT,CVT,1.6L I4 16V MPFI DOHC,1600.0,Gasoline,"",500,mi.,sedan,Front-wheel Drive,Aurora Black,Yes,None reported,Yes,Yes,"CARFAX One-Owner. Clean CARFAX. Certified. Aurora Black 2023 Kia Rio LX FWD CVT 1.6L 4-Cylinder 4D Sedan, FWD, Aurora Black, Black Cloth.Seelye KIA Battle Creek has been serving the local community for over 17 years!! Recent Arrival! 32/41 City/Highway MPGKia Certified Pre-Owned Details:  Transfera|…|ble Warranty  Warranty Deductible: $50  165 Point Inspection  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Roadside Assistance  Vehicle History  Includes Rental Car and Trip Interruption Reimbursement. 3 month Sirius trial subscription  Limited Warranty: 12 Month/12,000 Mile (whichever comes first) Platinum Coverage from certified purchase date",2023-05-04T08:26:49.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
LPC687529,Nissan Rogue SV,2023,20000-29999,29574,"6600 State Hwy 121 Frisco, TX 75034",N,N,Y,5N1BT3BA8PC687529,Automatic CVT,CVT,1.5L I3 12V GDI DOHC Turbo,1500.0,Gasoline,"",2724,mi.,suv,Front-wheel Drive,Black,Yes,None reported,,No,"CARFAX One-Owner. 2023 Nissan Rogue SV Navigation/GPS, 1-Owner, Nissan Certified, Alloy Wheels, Remote Start, 4D Sport Utility, 18 Aluminum Alloy Wheels, Alloy wheels, Power driver seat, Rear Parking Sensors. 4D Sport Utility Odometer is 1231 miles below market average! Certified. Nissan Certified D|…|etails:  Warranty Deductible: $100  Transferable Warranty  167 Point Inspection  Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date  Roadside Assistance  Vehicle History  Plus 1 Year Pre-Paid Maintenance Included. FWD Save time at the dealership and complete your deal online with Skip the Lot, Crest Nissan's online buying platform. It's the fastest way to buy a car, by far!",2023-05-04T08:29:15.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PN302947,Nissan Altima 2.5 SL,2023,20000-29999,29980,"7755 S Autoplex Loop Tempe, AZ 85284",Y,Y,Y,1N4BL4EV5PN302947,Automatic CVT,CVT,2.5L,2500.0,Gasoline,"",5300,mi.,sedan,Front-wheel Drive,Black,Yes,None reported,,No,"Sun/Moonroof  Leather Seats  Navigation System  [N93] Illuminated Kick Plates  [L94] Floor Mats/Trunk Mat/Hideaway Net  [B10] Body-Colored Splash Guards  [M92] Trunk Organizer Tray  [B92] Chrome Bumper Protector  Lane Keeping Assist  Keyless Start  Bluetooth Connection  [C03] 50 State E|…|missions  Charcoal; Leather-Appointed Seat Trim  Super BlackThis vehicle includes a Money-Back Guarantee and passed our precise inspection process. Best of all the price you see is the price you pay. No haggling. No back and forth. No pressure. And this price is so good it is guaranteed. Money-Back Guarantee is valid for 5 days or 250 miles, whichever comes first. Subject to certain terms and conditions. See store for details. Some restrictions apply.",2023-05-04T08:24:41.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
504482P,Hyundai Santa Fe SE,2023,20000-29999,28499,"955 N Hwy 190 Covington, LA 70433",Y,Y,N,5NMS14AJ0PH504482,Automatic,Automatic,2.5L I4 16V PDI DOHC,2500.0,Gasoline,"",2199,mi.,suv,Front-wheel Drive,Serenity White Pearl,,At least 1 accident or damage reported,Yes,Yes,"Certified. Serenity White Pearl 2023 Hyundai Santa Fe SE FWD 8-Speed Automatic with SHIFTRONIC 2.5L I4 Beige w/Stain-Resistant Cloth Seat Trim, 18 x 7.5J Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Apple CarPlay & Android Auto, Auto High-beam Headlights, Cargo Cover/Screen, Cargo Net,|…|Carpeted Floor Mats, Delay-off headlights, Electronic Stability Control, Exterior Parking Camera Rear, Fully automatic headlights, Low tire pressure warning, Mudguards, Option Group 01, Rear window defroster, Remote keyless entry, Speed control, Spoiler, Stain-Resistant Cloth Seat Trim, Telescoping steering wheel, Traction control. Odometer is 1965 miles below market average! 25/28 City/Highway MPG Hyundai Certified Pre-Owned Details:  Roadside Assistance  173+ Point Inspection  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Warranty Deductible: $50  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription  Vehicle History  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date",2023-05-04T08:17:15.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
T2591,Toyota Corolla Hatchback SE,2023,20000-29999,25988,"39765 US HIGHWAY 280 Sylacauga, AL 35150",Y,Y,N,JTND4MBE1P3192300,10-Speed Automatic,Automatic,2.0L I4 16V PDI DOHC,2000.0,Gasoline,"",10801,mi.,hatchback,Front-wheel Drive,Ice,Yes,None reported,,No,"Equipment: The high efficiency automatic transmission shifts smoothly and allows you to relax while driving. Good News! This certified CARFAX 1-owner vehicle has only had one owner before you. This unit has a clean CARFAX vehicle history report. This 2023 Toyota Corolla Hatchback has a L4, 2.0L high|…|output engine. Front wheel drive on this Toyota Corolla Hatchback gives you better traction and better fuel economy. The Toyota Corolla Hatchback is equipped with a gasoline engine. This small car is easy to park. The Toyota Corolla Hatchback shines with clean polished lines coated with an elegant white finish. Packages: Equipment listed is based on original vehicle build. Please confirm the accuracy of the included equipment by calling the dealer prior to purchase.",2023-05-04T08:18:16.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
PU046493T,Hyundai Elantra HEV Limited,2023,20000-29999,28500,"13660 IH-10 West San Antonio, TX 78230",Y,Y,N,KMHLN4AJ8PU046493,Automatic,Automatic,1.6L I4 16V GDI DOHC Hybrid,1600.0,Hybrid,"",7323,mi.,sedan,Front-wheel Drive,Phantom Black,Yes,None reported,,Yes,"Clean CARFAX. CARFAX One-Owner. Phantom Black 2023 Hyundai Elantra Hybrid Limited FWD 6-Speed Dual Clutch I4 Elantra Hybrid Limited, 4D Sedan, I4, 6-Speed Dual Clutch, FWD, Phantom Black, Black Leather, AppLink/Apple CarPlay and Android Auto, Brake assist, Cargo Side Bins, Electronic Stability Contr|…|ol, Exterior Parking Camera Rear, First Aid Kit, Navigation System, Option Group 01, Power moonroof, Preferred Accessory Package, Trunk/Cargo Hook.49/52 City/Highway MPG",2023-05-04T08:20:22.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
G1201,Hyundai Elantra SEL,2023,20000-29999,24270,"6747 N Lincoln Ave Lincolnwood, IL 60712",Y,Y,N,KMHLS4AG8PU410554,IVT,IVT,2.0L I4 16V MPFI DOHC,2000.0,Gasoline,"",4009,mi.,sedan,Front-wheel Drive,Scarlet Red Pearl,No,None reported,,No,"2023 Hyundai Elantra SEL Scarlet Red Pearl Odometer is 2041 miles below market average! 30/40 City/Highway MPG Hyundai Certified Pre-Owned Details:  Roadside Assistance  Powertrain Limited Warranty: 120 Month/100,000 Mile (whichever comes first) from original in-service date  Vehicle History  17|…|3+ Point Inspection  Includes 10-year/Unlimited mileage Roadside Assistance with Rental Car and Trip Interruption Reimbursement; Please see dealers for specific vehicle eligibility requirements. 10-Year/100,000 Mile Hybrid/EV Battery Warranty. 3 months Siru-iusXM trial subscription  Warranty Deductible: $50  Limited Warranty: 60 Month/60,000 Mile (whichever comes first) from original in-service date Hyundai of Lincolnwood provides quality cars, services, financing, and everything in between to all drivers in the Chicagoland area. From before you even walk into our showroom to long after you drive home, all customers at Hyundai of Lincolnwood are customers for life! Being car-owners ourselves, its only fitting that wed provide our drivers with the kind of courtesy, service, and respect that we would expect.",2023-05-04T08:36:42.000Z,cars.com scrapper,2023-05-04T15:28:00.859Z
